platform,player_id,player_key,fp_player_id,canonical_player_id,fp_key,player,position,nfl_team,team_name,owner,eligible_positions
yahoo,30161,,16420.0,canon:joe mixon::RB,joe-mixon|RB|,Joe Mixon,RB,,Soft Hands David,,"['RB', 'W/R/T', 'IR']"
yahoo,40900,,23084.0,canon:caleb williams::QB,caleb-williams|QB|,Caleb Williams,QB,,Block Party Dane,,['QB']
yahoo,32687,,19202.0,canon:ceedee lamb::WR,ceedee-lamb|WR|,CeeDee Lamb,WR,,Block Party Dane,,"['WR', 'W/R/T']"
yahoo,33963,,23163.0,canon:drake london::WR,drake-london|WR|,Drake London,WR,,Block Party Dane,,"['WR', 'W/R/T']"
yahoo,31905,,18239.0,canon:david montgomery::RB,david-montgomery|RB|,David Montgomery,RB,,Block Party Dane,,"['RB', 'W/R/T']"
yahoo,41048,,22980.0,canon:tyrone tracy::RB,tyrone-tracy|RB|,Tyrone Tracy Jr.,RB,,Block Party Dane,,"['RB', 'W/R/T']"
yahoo,30259,,16499.0,canon:george kittle::TE,george-kittle|TE|,George Kittle,TE,,Block Party Dane,,"['TE', 'W/R/T', 'IR']"
yahoo,31908,,18466.0,canon:terry mclaurin::WR,terry-mclaurin|WR|,Terry McLaurin,WR,,Block Party Dane,,"['WR', 'W/R/T']"
yahoo,33399,,19781.0,canon:justin fields::QB,justin-fields|QB|,Justin Fields,QB,,Block Party Dane,,['QB']
yahoo,40892,,26214.0,canon:ricky pearsall::WR,ricky-pearsall|WR|,Ricky Pearsall,WR,,Block Party Dane,,"['WR', 'W/R/T']"
yahoo,40095,,22908.0,canon:tank bigsby::RB,tank-bigsby|RB|,Tank Bigsby,RB,,Block Party Dane,,"['RB', 'W/R/T']"
yahoo,40048,,25247.0,canon:dalton kincaid::TE,dalton-kincaid|TE|,Dalton Kincaid,TE,,Block Party Dane,,"['TE', 'W/R/T']"
yahoo,33415,,19794.0,canon:rashod bateman::WR,rashod-bateman|WR|,Rashod Bateman,WR,,Block Party Dane,,"['WR', 'W/R/T']"
yahoo,29754,,,,,Wil Lutz,K,,Block Party Dane,,['K']
yahoo,100008,,8100.0,canon:detroit lions::DST,detroit-lions|DST|,Detroit,DEF,,Block Party Dane,,['DEF']
yahoo,40896,,22902.0,canon:jayden daniels::QB,jayden-daniels|QB|,Jayden Daniels,QB,,Orbital Tits,,['QB']
yahoo,33393,,19788.0,canon:jamarr chase::WR,ja-marr-chase|WR|,Ja'Marr Chase,WR,,Orbital Tits,,"['WR', 'W/R/T']"
yahoo,31868,,18244.0,canon:deebo samuel::WR,deebo-samuel|WR|,Deebo Samuel,WR,,Orbital Tits,,"['WR', 'W/R/T']"
