platform,player_id,player_key,fp_player_id,canonical_player_id,fp_key,player,position,nfl_team,team_name,owner,eligible_positions
sleeper,4984,4984,17298.0,canon:josh allen::QB,josh-allen|QB|,Josh Allen,QB,BUF,Lottsofwins,Lottsofwins,['QB']
sleeper,5045,5045,17253.0,canon:courtland sutton::WR,courtland-sutton|WR|,Courtland Sutton,WR,DEN,Lottsofwins,Lottsofwins,"['WR', 'W/R/T']"
sleeper,5846,5846,18219.0,canon:dk metcalf::WR,dk-metcalf|WR|,DK Metcalf,WR,PIT,Lottsofwins,Lottsofwins,"['WR', 'W/R/T']"
sleeper,6650,6650,,,,Chase McLaughlin,K,TB,Lottsofwins,Lottsofwins,['K']
sleeper,8408,8408,22969.0,canon:jordan mason::RB,jordan-mason|RB|,Jordan Mason,RB,MIN,Lottsofwins,Lottsofwins,"['RB', 'W/R/T']"
sleeper,9224,9224,25324.0,canon:chase brown::RB,chase-brown|RB|,Chase Brown,RB,CIN,Lottsofwins,Lottsofwins,"['RB', 'W/R/T']"
sleeper,9500,9500,24706.0,canon:josh downs::WR,josh-downs|WR|,Josh Downs,WR,IND,Lottsofwins,Lottsofwins,"['WR', 'W/R/T']"
sleeper,LAR,LAR,8280.0,canon:los angeles rams::DEF,los-angeles-rams|DST|fa,Los Angeles Rams,DEF,LAR,Lottsofwins,Lottsofwins,['DEF']
sleeper,11620,11620,25411.0,canon:rome odunze::WR,rome-odunze|WR|,Rome Odunze,WR,CHI,Chungus Buzzards,young3ull,"['WR', 'W/R/T']"
sleeper,11635,11635,26122.0,canon:ladd mcconkey::WR,ladd-mcconkey|WR|,Ladd McConkey,WR,LAC,Chungus Buzzards,young3ull,"['WR', 'W/R/T']"
sleeper,12469,12469,27102.0,canon:dylan sampson::RB,dylan-sampson|RB|,Dylan Sampson,RB,CLE,Chungus Buzzards,young3ull,"['RB', 'W/R/T']"
sleeper,12490,12490,27297.0,canon:bhayshul tuten::RB,bhayshul-tuten|RB|,Bhayshul Tuten,RB,JAX,Chungus Buzzards,young3ull,"['RB', 'W/R/T']"
sleeper,12517,12517,26006.0,canon:colston loveland::TE,colston-loveland|TE|,Colston Loveland,TE,CHI,Chungus Buzzards,young3ull,"['TE', 'W/R/T']"
sleeper,12535,12535,27446.0,canon:isaac teslaa::WR,isaac-teslaa|WR|,Isaac TeSlaa,WR,DET,Chungus Buzzards,young3ull,"['WR', 'W/R/T']"
sleeper,1479,1479,11616.0,canon:keenan allen::WR,keenan-allen|WR|,Keenan Allen,WR,LAC,Chungus Buzzards,young3ull,"['WR', 'W/R/T']"
sleeper,4137,4137,16447.0,canon:james conner::RB,james-conner|RB|,James Conner,RB,ARI,Chungus Buzzards,young3ull,"['RB', 'W/R/T']"
sleeper,4881,4881,17233.0,canon:lamar jackson::QB,lamar-jackson|QB|,Lamar Jackson,QB,BAL,Chungus Buzzards,young3ull,['QB']
sleeper,4983,4983,17265.0,canon:dj moore::WR,dj-moore|WR|,DJ Moore,WR,CHI,Chungus Buzzards,young3ull,"['WR', 'W/R/T']"
sleeper,5012,5012,17269.0,canon:mark andrews::TE,mark-andrews|TE|,Mark Andrews,TE,BAL,Chungus Buzzards,young3ull,"['TE', 'W/R/T']"
sleeper,8138,8138,22958.0,canon:james cook::RB,james-cook|RB|,James Cook,RB,BUF,Chungus Buzzards,young3ull,"['RB', 'W/R/T']"
sleeper,8259,8259,,,,Cameron Dicker,K,LAC,Chungus Buzzards,young3ull,['K']
sleeper,9493,9493,23180.0,canon:puka nacua::WR,puka-nacua|WR|,Puka Nacua,WR,LAR,Chungus Buzzards,young3ull,"['WR', 'W/R/T']"
sleeper,PHI,PHI,8230.0,canon:philadelphia eagles::DST,philadelphia-eagles|DST|,Philadelphia Eagles,DEF,PHI,Chungus Buzzards,young3ull,['DEF']
sleeper,10236,10236,25247.0,canon:dalton kincaid::TE,dalton-kincaid|TE|,Dalton Kincaid,TE,BUF,NabersThinkI'mSellinDope,mcelroyk,"['TE', 'W/R/T']"
sleeper,10859,10859,22978.0,canon:sam laporta::TE,sam-laporta|TE|,Sam LaPorta,TE,DET,NabersThinkI'mSellinDope,mcelroyk,"['TE', 'W/R/T']"
sleeper,11624,11624,23019.0,canon:xavier worthy::WR,xavier-worthy|WR|,Xavier Worthy,WR,KC,NabersThinkI'mSellinDope,mcelroyk,"['WR', 'W/R/T']"
sleeper,11632,11632,25409.0,canon:malik nabers::WR,malik-nabers|WR|,Malik Nabers,WR,NYG,NabersThinkI'mSellinDope,mcelroyk,"['WR', 'W/R/T']"
sleeper,12481,12481,27166.0,canon:cam skattebo::RB,cam-skattebo|RB|,Cam Skattebo,RB,NYG,NabersThinkI'mSellinDope,mcelroyk,"['RB', 'W/R/T']"
sleeper,12501,12501,26024.0,canon:matthew golden::WR,matthew-golden|WR|,Matthew Golden,WR,GB,NabersThinkI'mSellinDope,mcelroyk,"['WR', 'W/R/T']"
sleeper,12504,12504,27165.0,canon:kaleb johnson::RB,kaleb-johnson|RB|,Kaleb Johnson,RB,PIT,NabersThinkI'mSellinDope,mcelroyk,"['RB', 'W/R/T']"
sleeper,12527,12527,25989.0,canon:ashton jeanty::RB,ashton-jeanty|RB|,Ashton Jeanty,RB,LV,NabersThinkI'mSellinDope,mcelroyk,"['RB', 'W/R/T']"
sleeper,12711,12711,,,,Tyler Loop,K,BAL,NabersThinkI'mSellinDope,mcelroyk,['K']
sleeper,6783,6783,19201.0,canon:jerry jeudy::WR,jerry-jeudy|WR|,Jerry Jeudy,WR,CLE,NabersThinkI'mSellinDope,mcelroyk,"['WR', 'W/R/T']"
sleeper,6904,6904,19275.0,canon:jalen hurts::QB,jalen-hurts|QB|,Jalen Hurts,QB,PHI,NabersThinkI'mSellinDope,mcelroyk,['QB']
sleeper,8150,8150,23059.0,canon:kyren williams::RB,kyren-williams|RB|,Kyren Williams,RB,LAR,NabersThinkI'mSellinDope,mcelroyk,"['RB', 'W/R/T']"
sleeper,8183,8183,19797.0,canon:brock purdy::QB,brock-purdy|QB|,Brock Purdy,QB,SF,NabersThinkI'mSellinDope,mcelroyk,['QB']
sleeper,9997,9997,22916.0,canon:zay flowers::WR,zay-flowers|WR|,Zay Flowers,WR,BAL,NabersThinkI'mSellinDope,mcelroyk,"['WR', 'W/R/T']"
sleeper,PIT,PIT,8240.0,canon:pittsburgh steelers::DST,pittsburgh-steelers|DST|,Pittsburgh Steelers,DEF,PIT,NabersThinkI'mSellinDope,mcelroyk,['DEF']
sleeper,11560,11560,23084.0,canon:caleb williams::QB,caleb-williams|QB|fa,Caleb Williams,QB,CHI,💿z nutz ,chicityboi,['QB']
sleeper,11604,11604,22955.0,canon:brock bowers::TE,brock-bowers|TE|,Brock Bowers,TE,LV,💿z nutz ,chicityboi,"['TE', 'W/R/T']"
sleeper,11638,11638,26214.0,canon:ricky pearsall::WR,ricky-pearsall|WR|,Ricky Pearsall,WR,SF,💿z nutz ,chicityboi,"['WR', 'W/R/T']"
sleeper,12495,12495,25984.0,canon:ollie gordon::RB,ollie-gordon|RB|,Ollie Gordon,RB,MIA,💿z nutz ,chicityboi,"['RB', 'W/R/T']"
sleeper,12507,12507,25395.0,canon:omarion hampton::RB,omarion-hampton|RB|,Omarion Hampton,RB,LAC,💿z nutz ,chicityboi,"['RB', 'W/R/T']"
sleeper,12529,12529,23065.0,canon:treveyon henderson::RB,treveyon-henderson|RB|,TreVeyon Henderson,RB,NE,💿z nutz ,chicityboi,"['RB', 'W/R/T']"
sleeper,12533,12533,27316.0,canon:jacory croskey-merritt::RB,jacory-croskey-merritt|RB|,Jacory Croskey-Merritt,RB,WAS,💿z nutz ,chicityboi,"['RB', 'W/R/T']"
sleeper,6786,6786,19202.0,canon:ceedee lamb::WR,ceedee-lamb|WR|,CeeDee Lamb,WR,DAL,💿z nutz ,chicityboi,"['WR', 'W/R/T']"
sleeper,7526,7526,19790.0,canon:jaylen waddle::WR,jaylen-waddle|WR|,Jaylen Waddle,WR,MIA,💿z nutz ,chicityboi,"['WR', 'W/R/T']"
sleeper,7569,7569,20130.0,canon:nico collins::WR,nico-collins|WR|,Nico Collins,WR,HOU,💿z nutz ,chicityboi,"['WR', 'W/R/T']"
sleeper,7591,7591,19781.0,canon:justin fields::QB,justin-fields|QB|,Justin Fields,QB,NYJ,💿z nutz ,chicityboi,['QB']
sleeper,7839,7839,,,,Evan McPherson,K,CIN,💿z nutz ,chicityboi,['K']
sleeper,8146,8146,23072.0,canon:garrett wilson::WR,garrett-wilson|WR|,Garrett Wilson,WR,NYJ,💿z nutz ,chicityboi,"['WR', 'W/R/T']"
sleeper,9508,9508,25323.0,canon:tyjae spears::RB,tyjae-spears|RB|,Tyjae Spears,RB,TEN,💿z nutz ,chicityboi,"['RB', 'W/R/T']"
sleeper,9753,9753,23152.0,canon:zach charbonnet::RB,zach-charbonnet|RB|,Zach Charbonnet,RB,SEA,💿z nutz ,chicityboi,"['RB', 'W/R/T']"
sleeper,ARI,ARI,8000.0,canon:arizona cardinals::DST,arizona-cardinals|DST|,Arizona Cardinals,DEF,ARI,💿z nutz ,chicityboi,['DEF']
sleeper,12457,12457,24344.0,canon:jaydon blue::RB,jaydon-blue|RB|,Jaydon Blue,RB,DAL,Cup Of Joe ,Vande23,"['RB', 'W/R/T']"
sleeper,4037,4037,16406.0,canon:chris godwin::WR,chris-godwin|WR|,Chris Godwin,WR,TB,Cup Of Joe ,Vande23,"['WR', 'W/R/T']"
sleeper,4199,4199,16673.0,canon:aaron jones::RB,aaron-jones|RB|,Aaron Jones,RB,MIN,Cup Of Joe ,Vande23,"['RB', 'W/R/T']"
sleeper,4227,4227,,,,Harrison Butker,K,KC,Cup Of Joe ,Vande23,['K']
sleeper,5844,5844,18290.0,canon:tj hockenson::TE,t-j-hockenson|TE|,T.J. Hockenson,TE,MIN,Cup Of Joe ,Vande23,"['TE', 'W/R/T']"
sleeper,5927,5927,18466.0,canon:terry mclaurin::WR,terry-mclaurin|WR|,Terry McLaurin,WR,WAS,Cup Of Joe ,Vande23,"['WR', 'W/R/T']"
