roster_id,owner,team_name,player_id,player,pos,nfl_team,is_starter,is_reserve
7,Vande23,Conqueeftadore,6770,Joe Burrow,QB,CIN,True,False
7,Vande23,Conqueeftadore,4199,Aaron Jones,RB,MIN,True,False
7,Vande23,Conqueeftadore,8205,Isiah Pacheco,RB,KC,True,False
7,Vande23,Conqueeftadore,6806,J.K. Dobbins,RB,DEN,False,False
7,Vande23,Conqueeftadore,12457,Jaydon Blue,RB,DAL,False,False
7,Vande23,Conqueeftadore,6813,Jonathan Taylor,RB,IND,True,False
7,Vande23,Conqueeftadore,8151,Kenneth Walker,RB,SEA,True,False
7,Vande23,Conqueeftadore,4037,Chris Godwin,WR,TB,False,False
7,Vande23,Conqueeftadore,7564,Ja'Marr Chase,WR,CIN,True,False
7,Vande23,Conqueeftadore,9756,Jordan Addison,WR,MIN,False,False
7,Vande23,Conqueeftadore,8134,Khalil Shakir,WR,BUF,False,False
7,Vande23,Conqueeftadore,5927,Terry McLaurin,WR,WAS,True,False
7,Vande23,Conqueeftadore,5844,T.J. Hockenson,TE,MIN,True,False
7,Vande23,Conqueeftadore,4227,Harrison Butker,K,KC,True,False
7,Vande23,Conqueeftadore,SEA,Seattle Seahawks,DEF,SEA,True,False
6,chicityboi,💿z nutz ,3294,Dak Prescott,QB,DAL,False,False
6,chicityboi,💿z nutz ,7591,Justin Fields,QB,NYJ,True,False
6,chicityboi,💿z nutz ,12533,Jacory Croskey-Merritt,RB,WAS,False,False
6,chicityboi,💿z nutz ,12495,Ollie Gordon,RB,MIA,False,False
6,chicityboi,💿z nutz ,12507,Omarion Hampton,RB,LAC,True,False
6,chicityboi,💿z nutz ,12529,TreVeyon Henderson,RB,NE,True,False
6,chicityboi,💿z nutz ,9508,Tyjae Spears,RB,TEN,False,True
6,chicityboi,💿z nutz ,9753,Zach Charbonnet,RB,SEA,False,False
6,chicityboi,💿z nutz ,6786,CeeDee Lamb,WR,DAL,True,False
6,chicityboi,💿z nutz ,8146,Garrett Wilson,WR,NYJ,True,False
6,chicityboi,💿z nutz ,7526,Jaylen Waddle,WR,MIA,False,False
6,chicityboi,💿z nutz ,7569,Nico Collins,WR,HOU,True,False
6,chicityboi,💿z nutz ,11638,Ricky Pearsall,WR,SF,True,False
6,chicityboi,💿z nutz ,11604,Brock Bowers,TE,LV,True,False
6,chicityboi,💿z nutz ,7839,Evan McPherson,K,CIN,True,False
6,chicityboi,💿z nutz ,ARI,Arizona Cardinals,DEF,ARI,True,False
5,mcelroyk,NabersThinkI'mSellinDope,8183,Brock Purdy,QB,SF,False,False
5,mcelroyk,NabersThinkI'mSellinDope,6904,Jalen Hurts,QB,PHI,True,False
5,mcelroyk,NabersThinkI'mSellinDope,12527,Ashton Jeanty,RB,LV,True,False
5,mcelroyk,NabersThinkI'mSellinDope,12481,Cam Skattebo,RB,NYG,False,False
5,mcelroyk,NabersThinkI'mSellinDope,12504,Kaleb Johnson,RB,PIT,False,False
5,mcelroyk,NabersThinkI'mSellinDope,8150,Kyren Williams,RB,LAR,True,False
5,mcelroyk,NabersThinkI'mSellinDope,6783,Jerry Jeudy,WR,CLE,True,False
5,mcelroyk,NabersThinkI'mSellinDope,11632,Malik Nabers,WR,NYG,True,False
5,mcelroyk,NabersThinkI'mSellinDope,12501,Matthew Golden,WR,GB,False,False
5,mcelroyk,NabersThinkI'mSellinDope,11624,Xavier Worthy,WR,KC,True,False
5,mcelroyk,NabersThinkI'mSellinDope,9997,Zay Flowers,WR,BAL,True,False
5,mcelroyk,NabersThinkI'mSellinDope,10236,Dalton Kincaid,TE,BUF,False,False
5,mcelroyk,NabersThinkI'mSellinDope,10859,Sam LaPorta,TE,DET,True,False
5,mcelroyk,NabersThinkI'mSellinDope,12711,Tyler Loop,K,BAL,True,False
5,mcelroyk,NabersThinkI'mSellinDope,PIT,Pittsburgh Steelers,DEF,PIT,True,False
10,rholcomb,rholcomb,4892,Baker Mayfield,QB,TB,True,False
10,rholcomb,rholcomb,6797,Justin Herbert,QB,LAC,False,False
10,rholcomb,rholcomb,4035,Alvin Kamara,RB,NO,True,False
10,rholcomb,rholcomb,3198,Derrick Henry,RB,BAL,True,False
10,rholcomb,rholcomb,4018,Joe Mixon,RB,HOU,False,False
10,rholcomb,rholcomb,7543,Travis Etienne,RB,JAX,False,False
10,rholcomb,rholcomb,11655,Tyrone Tracy,RB,NYG,True,False
10,rholcomb,rholcomb,11631,Brian Thomas,WR,JAX,True,False
10,rholcomb,rholcomb,4981,Calvin Ridley,WR,TEN,True,False
