team_key,team_name,owner,player_id,player,pos,nfl_team,is_starter
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,100024,Los Angeles,DEF,,True
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,28188,Chris Boswell,K,,True
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,40875,Bo Nix,QB,,True
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,32675,Tua Tagovailoa,QB,,False
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,30121,Christian McCaffrey,RB,,True
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,34207,Isiah Pacheco,RB,,True
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,33508,Rhamondre Stevenson,RB,,False
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,31019,Dallas Goedert,TE,,False
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,31840,T.J. Hockenson,TE,,True
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,40883,Brian Thomas Jr.,WR,,True
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,32843,Darnell Mooney,WR,,False
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,40893,Marvin Harrison Jr.,WR,,True
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,40084,Rashee Rice,WR,,False
461.l.1264351.t.7,Laser Arm Torrey,Laser Arm Torrey,32703,Tee Higgins,WR,,True
461.l.1264351.t.9,MVP Kenny,MVP Kenny,100034,Houston,DEF,,True
461.l.1264351.t.9,MVP Kenny,MVP Kenny,34344,Cameron Dicker,K,,True
461.l.1264351.t.9,MVP Kenny,MVP Kenny,31002,Lamar Jackson,QB,,True
461.l.1264351.t.9,MVP Kenny,MVP Kenny,32725,J.K. Dobbins,RB,,True
461.l.1264351.t.9,MVP Kenny,MVP Kenny,40059,Jahmyr Gibbs,RB,,True
461.l.1264351.t.9,MVP Kenny,MVP Kenny,34120,Kyren Williams,RB,,True
461.l.1264351.t.9,MVP Kenny,MVP Kenny,31005,Nick Chubb,RB,,False
461.l.1264351.t.9,MVP Kenny,MVP Kenny,34107,Tyler Allgeier,RB,,False
461.l.1264351.t.9,MVP Kenny,MVP Kenny,40064,Sam LaPorta,TE,,True
461.l.1264351.t.9,MVP Kenny,MVP Kenny,33966,Chris Olave,WR,,True
461.l.1264351.t.9,MVP Kenny,MVP Kenny,27581,Davante Adams,WR,,True
461.l.1264351.t.9,MVP Kenny,MVP Kenny,32231,Jakobi Meyers,WR,,False
461.l.1264351.t.9,MVP Kenny,MVP Kenny,40063,Jayden Reed,WR,,False
461.l.1264351.t.9,MVP Kenny,MVP Kenny,34104,Khalil Shakir,WR,,False
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,100014,Los Angeles,DEF,,True
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,32695,Brandon Aiyuk,IR,,True
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,32671,Joe Burrow,QB,,True
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,41791,Ashton Jeanty,RB,,True
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,40981,Braelon Allen,RB,,False
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,41922,Cam Skattebo,RB,,False
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,34320,Jordan Mason,RB,,False
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,41969,Ollie Gordon II,RB,,False
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,41807,Omarion Hampton,RB,,True
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,41799,Tyler Warren,TE,,True
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,41804,Emeka Egbuka,WR,,False
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,34007,George Pickens,WR,,True
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,33967,Jameson Williams,WR,,True
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,40899,Malik Nabers,WR,,True
461.l.1264351.t.5,Nabers know my Name,Nabers know my Name,41808,Matthew Golden,WR,,False
461.l.1264351.t.2,Orbital Tits,Orbital Tits,100021,Philadelphia,DEF,,True
461.l.1264351.t.2,Orbital Tits,Orbital Tits,40819,Brandon Aubrey,K,,True
461.l.1264351.t.2,Orbital Tits,Orbital Tits,40905,J.J. McCarthy,QB,,False
461.l.1264351.t.2,Orbital Tits,Orbital Tits,40896,Jayden Daniels,QB,,True
461.l.1264351.t.2,Orbital Tits,Orbital Tits,41900,Bhayshul Tuten,RB,,False
461.l.1264351.t.2,Orbital Tits,Orbital Tits,34447,Jaylen Warren,RB,,True
461.l.1264351.t.2,Orbital Tits,Orbital Tits,41845,RJ Harvey,RB,,True
461.l.1264351.t.2,Orbital Tits,Orbital Tits,41823,TreVeyon Henderson,RB,,True
461.l.1264351.t.2,Orbital Tits,Orbital Tits,40878,Brock Bowers,TE,,True
461.l.1264351.t.2,Orbital Tits,Orbital Tits,30213,Jonnu Smith,TE,,False
461.l.1264351.t.2,Orbital Tits,Orbital Tits,31868,Deebo Samuel,WR,,True
461.l.1264351.t.2,Orbital Tits,Orbital Tits,33393,Ja'Marr Chase,WR,,True
461.l.1264351.t.2,Orbital Tits,Orbital Tits,41819,Jayden Higgins,WR,,False
461.l.1264351.t.2,Orbital Tits,Orbital Tits,40126,Josh Downs,WR,,False
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,100016,Minnesota,DEF,,True
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,33537,Evan McPherson,K,,True
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,34218,Brock Purdy,QB,,True
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,32676,Justin Herbert,QB,,False
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,30218,James Conner,RB,,True
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,33423,Javonte Williams,RB,,False
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,30972,Saquon Barkley,RB,,True
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,29269,Hunter Henry,TE,,False
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,31056,Mark Andrews,TE,,True
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,31883,A.J. Brown,WR,,True
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,33398,DeVonta Smith,WR,,True
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,32887,Jauan Jennings,WR,,False
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,40042,Jordan Addison,WR,,False
461.l.1264351.t.10,Smooth Route Gavin,Smooth Route Gavin,40908,Ladd McConkey,WR,,True
461.l.1264351.t.11,Soft Hands David,Soft Hands David,100009,Green Bay,DEF,,True
461.l.1264351.t.11,Soft Hands David,Soft Hands David,41062,Cam Little,K,,True
461.l.1264351.t.11,Soft Hands David,Soft Hands David,32723,Jalen Hurts,QB,,True
