"fantasypros_id","player_name","team","passing_att","passing_cmp","passing_yds","passing_tds","passing_ints","rushing_att","rushing_yds","rushing_tds","misc_fl","misc_fpts","pos","year","week","pulled_at","source","player","fp_player_id","fantasypts","weekly_sd","weekly_floor","weekly_ceiling","fp_player_slug","fp_key","weekly_avg","weekly_ecr_rank","weekly_ecr_best_rank","weekly_ecr_worst_rank","weekly_ecr_avg_rank","weekly_ecr_sd_rank","receiving_rec","receiving_yds","receiving_tds","fg","fga","xpt","fpts","sack","int","fr","ff","td","safety","pa","yds_agn","weekly_points_overall_rank","weekly_points_pos_rank"
"8050","Chicago Bears",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Chicago Bears",8050,5.7,NA,NA,NA,"chicago-bears","chicago-bears|DST|",5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,2.2,0.8,0.5,0.8,0.1,0,21.8,351.9,232,13
"8140","Jacksonville Jaguars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Jacksonville Jaguars",8140,5.7,NA,NA,NA,"jacksonville-jaguars","jacksonville-jaguars|DST|",5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,2.3,0.8,0.5,0.7,0.1,0,21.4,333.3,233,14
"8220","Las Vegas Raiders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Las Vegas Raiders",8220,5.6,NA,NA,NA,"las-vegas-raiders","las-vegas-raiders|DST|",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,2.4,0.7,0.6,0.7,0.1,0,23.3,342,235,15
"8010","Atlanta Falcons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Atlanta Falcons",8010,5.6,NA,NA,NA,"atlanta-falcons","atlanta-falcons|DST|",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,2.3,0.8,0.5,0.8,0.1,0,25.1,366,236,16
"8290","Tampa Bay Buccaneers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Tampa Bay Buccaneers",8290,5.6,NA,NA,NA,"tampa-bay-buccaneers","tampa-bay-buccaneers|DST|",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,2.2,0.7,0.5,0.9,0.1,0,22.6,351.9,237,17
"8150","Kansas City Chiefs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Kansas City Chiefs",8150,5.5,NA,NA,NA,"kansas-city-chiefs","kansas-city-chiefs|DST|",5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,2.3,0.6,0.5,0.7,0.2,0,21.8,340.8,239,18
"8110","Green Bay Packers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Green Bay Packers",8110,5.4,NA,NA,NA,"green-bay-packers","green-bay-packers|DST|",5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,2.1,0.7,0.5,0.8,0.2,0,23.4,375.8,242,19
"8260","Seattle Seahawks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Seattle Seahawks",8260,5.4,NA,NA,NA,"seattle-seahawks","seattle-seahawks|DST|",5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,2.1,0.7,0.5,0.8,0.1,0,22.6,365.7,243,20
"8120","Houston Texans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Houston Texans",8120,5.4,NA,NA,NA,"houston-texans","houston-texans|DST|",5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,2.1,0.7,0.5,0.7,0.2,0,23.4,343.2,244,21
"8070","Cleveland Browns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Cleveland Browns",8070,5.3,NA,NA,NA,"cleveland-browns","cleveland-browns|DST|",5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,2.4,0.6,0.4,0.7,0.1,0,26,369.5,246,22
